naive_nbr,default,0.1,"{1: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 2: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 6: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687]}"
naive_nbr,default,0.2,"{1: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 2: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 6: [0.15384615384615385, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687]}"
naive_nbr,default,0.3,"{1: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 2: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 6: [0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384]}"
naive_nbr,default,0.4,"{1: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 2: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687], 6: [0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154]}"
naive_nbr,default,0.5,"{1: [0.07692307692307687, 0.07692307692307687, 0.15384615384615385], 2: [0.6923076923076923, 0.7692307692307692, 0.6923076923076923], 6: [0.6153846153846154, 0.7692307692307692, 0.6923076923076923, 0.6923076923076923, 0.7692307692307692, 0.6923076923076923, 0.5384615384615384]}"
naive_degree,default,0.1,"{1: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687]}"
naive_degree,default,0.2,"{1: [0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.15384615384615385, 0.07692307692307687]}"
naive_degree,default,0.3,"{1: [0.07692307692307687, 0.46153846153846156, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.07692307692307687, 0.5384615384615384, 0.46153846153846156, 0.46153846153846156, 0.07692307692307687]}"
naive_degree,default,0.4,"{1: [0.07692307692307687, 0.6153846153846154, 0.07692307692307687, 0.07692307692307687, 0.07692307692307687, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.07692307692307687, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.07692307692307687]}"
naive_degree,default,0.5,"{1: [0.6923076923076923, 0.6923076923076923, 0.07692307692307687, 0.07692307692307687, 0.6923076923076923, 0.7692307692307692, 0.6923076923076923, 0.6923076923076923, 0.15384615384615385, 0.5384615384615384, 0.7692307692307692, 0.6153846153846154, 0.7692307692307692]}"
